,index,date,rank,song_name,song_id,album_name,artist,release_date
38,38,2021-11-17 17:30:02.13,39,Leave The Door Open,1LPSkqVhWVRUkKE03YUkpB,An Evening With Silk Sonic,Bruno Mars,2021-11-11
39,39,2021-11-17 17:30:02.13,40,I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,Red (Taylor's Version),Taylor Swift,2021-11-12
40,40,2021-11-17 17:30:02.13,41,Life Goes On,0eu4C55hL6x29mmeAjytzC,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2021-05-28
41,41,2021-11-17 17:30:02.13,42,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies,2021-07-30
42,42,2021-11-17 17:30:02.13,43,Yonaguni,2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,2021-06-04
43,43,2021-11-17 17:30:02.13,44,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,THE ANXIETY,THE ANXIETY,2020-03-13
44,44,2021-11-17 17:30:02.13,45,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-09-24
45,45,2021-11-17 17:30:02.13,46,traitor,5CZ40GBx1sQ9agT82CLQCT,SOUR,Olivia Rodrigo,2021-05-21
46,46,2021-11-17 17:30:02.13,47,State Of Grace (Taylor's Version),6lzc0Al0zfZOIFsFvBS1ki,Red (Taylor's Version),Taylor Swift,2021-11-12
47,47,2021-11-17 17:30:02.13,48,22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,Red (Taylor's Version),Taylor Swift,2021-11-12
48,48,2021-11-17 17:30:02.13,49,Enchanted,04S1pkp1VaIqjg8zZqknR5,Speak Now,Taylor Swift,2010-01-01
49,49,2021-11-17 17:30:02.13,50,I Love You So,4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,2014-11-28
50,0,2021-11-18 16:00:04.739,1,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),Taylor Swift,2021-11-12
51,1,2021-11-18 16:00:04.739,2,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,2021-10-14
52,2,2021-11-18 16:00:04.739,3,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23
53,3,2021-11-18 16:00:04.739,4,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,MONTERO,Lil Nas X,2021-09-17
54,4,2021-11-18 16:00:04.739,5,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,The Lockdown Sessions,Elton John,2021-10-22
55,5,2021-11-18 16:00:04.739,6,Heat Waves,02MWAaffLxlfxAUY7c5dvx,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06
56,6,2021-11-18 16:00:04.739,7,Shivers,50nfwKoDiSYg8zOCREWAm5,=,Ed Sheeran,2021-10-29
57,7,2021-11-18 16:00:04.739,8,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,An Evening With Silk Sonic,Bruno Mars,2021-11-11
58,8,2021-11-18 16:00:04.739,9,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,Ed Sheeran,2021-10-29
59,9,2021-11-18 16:00:04.739,10,Pepas,2B4GHvToeLTOBB4QLzW3Ni,La 167,Farruko,2021-10-01
